gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlySpend,TotalServices,MultipleLines_No,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaymentMethod_Bank_transfer_automatic,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,TenureGroup_0_1yr,TenureGroup_1_2yr,TenureGroup_2_4yr,TenureGroup_4_6yr,Churn
1,0,0,0,0.10704778280226633,0,0,-0.5172074769706297,-0.25507669512981873,-0.38635085851981904,0.5207381436215996,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,0
1,0,1,1,-0.7073594915983407,1,0,0.3436033691154218,-0.4977783031151856,0.42335480855037655,-0.5617762440782015,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,0
1,0,1,1,-0.7888002190384014,0,0,-0.8046983579993692,-0.7453771804127458,-0.5535177035994379,0.5207381436215996,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,0
0,0,1,0,-0.2594354906780068,1,1,0.29042586511010604,-0.16505076691783166,0.37778252310140387,1.0619953374715,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0
1,0,1,1,-1.2774445836787656,1,0,-0.6717545979860794,-0.9861816480339295,-1.2055366838633006,-1.103033437928102,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,0
1,0,0,1,1.369379058123207,1,1,0.4898415051300408,1.2866586875723538,0.6063087329057804,1.6032525313214008,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,-1.2774445836787656,1,0,-1.4943441130683104,-0.9971012350138201,-1.6111463367563499,-1.103033437928102,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,0
0,0,1,0,0.3106496014024181,1,0,-0.27126152094604356,0.04381115131571245,-0.033715507313502466,-0.5617762440782015,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,0
0,0,1,0,1.3286586944031769,1,1,-0.16490651293541178,0.6743235453747702,-0.04442783911693558,-0.02051905022830094,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,1.125056875803025,1,0,0.5247392421335293,1.1326594214983812,0.6687842460197942,1.0619953374715,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,0
